SID,SNAME,SEX,HEIGHT,BDATE,DORM
04000001,田薇佳,女,166.26,2003-11-20,北1舍905
04000011,盖维彤,女,176.45,2004-01-17,西1舍215
04000020,李武航,男,168.0,2004-09-10,西2舍615
04000031,杨爱颖,女,165.17,2004-06-26,东2舍121
04000040,韦韵凯,男,165.0,2004-08-18,南2舍402
04000050,熊瑎济,男,168.0,2005-10-11,南2舍635
04000061,覃艳烨,女,161.41,2004-07-26,北1舍709
04000071,李晗芥,女,170.33,2004-05-02,北2舍728
04000080,孟朋胜,男,181.0,2004-01-12,西1舍632
04000091,齐缦珞,女,170.89,2004-05-13,西2舍210
04000101,石莓偀,女,162.46,2004-10-26,南1舍712
04000110,祁东琪,男,157.0,2004-03-28,东1舍335
04000121,程冬家,女,165.88,2004-07-11,西1舍518
04000131,冯杏鸾,女,161.7,2004-07-07,西2舍401
04000141,郭冰嫣,女,166.48,2004-06-10,北1舍122
04000151,陈珍诺,女,174.25,2004-01-21,南2舍918
04000161,芦振甜,女,170.77,2004-11-12,北1舍620
04000170,林奇琛,男,176.0,2004-04-14,东1舍504
04000181,杨蕊焓,女,168.16,2004-07-26,南2舍918
04000191,王卓毓,女,153.58,2004-06-03,西2舍131
04000201,程纨镱,女,173.16,2004-04-05,东2舍120
04000211,张蝶希,女,157.1,2004-10-16,西1舍404
04000220,贺衡君,男,177.0,2004-06-29,东1舍504
04000231,张振馥,女,158.75,2004-04-09,北1舍337
04000241,刘兰晗,女,165.91,2004-04-03,东1舍540
04000251,黄飘自,女,163.97,2004-04-09,东1舍710
04000260,王律崇,男,173.0,2004-07-07,西2舍126
04000270,杨时景,男,166.0,2005-02-23,西1舍405
04000280,黄茂衍,男,163.0,2004-07-20,南2舍634
04000290,龙胜颔,男,172.0,2004-04-26,北2舍140
04000300,李朕军,男,161.0,2004-01-19,南2舍638
04000310,胡楠竣,男,178.0,2004-08-05,东2舍421
04000320,丘李青,男,149.0,2004-09-25,北2舍922
04000331,王宸亦,女,151.07,2004-04-14,东2舍131
04000341,李玥然,女,161.92,2004-01-18,东1舍315
04000350,黄宣襦,男,168.0,2004-03-27,南2舍239
04000361,陈萁琦,女,152.86,2004-06-27,东2舍834
04000370,滕政臣,男,156.0,2004-02-04,南1舍506
04000380,杨淇浣,男,165.0,2004-09-18,西2舍136
04000390,任昂羽,男,172.0,2004-02-29,西2舍822
04000401,刘姝裳,女,171.54,2004-12-25,东1舍539
04000411,夏萍灵,女,154.5,2003-11-23,北2舍713
04000420,方劻羽,男,168.0,2004-10-28,西1舍728
04000430,李济奎,男,177.0,2004-05-16,北1舍405
04000441,刘梓虹,女,165.76,2005-02-22,北1舍534
04000451,董杭醉,女,159.27,2004-08-22,北1舍240
04000461,聂晗瑶,女,166.0,2004-10-30,东2舍734
04000470,彭亨士,男,185.0,2004-03-15,北1舍534
04000480,石盛征,男,172.0,2005-01-04,北2舍727
04000490,雷益璥,男,174.0,2003-10-27,东1舍617
04000500,段康梁,男,170.0,2004-09-26,南1舍431
04000510,包耀有,男,173.0,2003-08-21,东1舍327
04000521,赵旋艳,女,158.71,2004-07-09,南2舍409
04000531,唐燕怜,女,162.68,2004-02-26,南1舍937
04000540,蒋青棋,男,170.0,2004-11-01,西1舍305
04000551,向忆思,女,160.24,2004-06-04,南1舍729
04000561,蒋凤语,女,172.21,2004-02-04,南1舍421
04000571,徐锦琪,女,162.88,2004-11-08,西1舍237
04000581,王暄毓,女,161.54,2004-03-16,北1舍706
04000591,朱煊超,女,158.01,2004-08-18,南1舍124
04000601,王丽旋,女,162.81,2004-01-29,北2舍224
